firm,focus,linkedin
Define Ventures,Early-stage digital health category-defining companies,https://www.linkedin.com/company/definevc
Oak HC/FT,Healthcare & fintech transformation seed to growth,https://www.linkedin.com/company/oak-hc-ft-partners
Optum Ventures,Value-based care enterprise health software,https://www.linkedin.com/company/optumventures
Rock Health Capital,Healthcare + technology intersection,https://www.linkedin.com/company/rockhealth
7wire Ventures,Informed connected health consumer digital health,https://www.linkedin.com/company/7wire-ventures
Esplanade Ventures,Canadian digital health AI-enabled solutions,https://www.linkedin.com/company/esplanade-ventures
Indus Ventures,Healthcare AI $100K–$2M checks hands-on support,https://www.linkedin.com/company/indusvp
WELL Health Ventures,Canadian healthcare modernization,https://www.linkedin.com/company/well-health-technologies
Digital Health Venture Partners,Healthcare data AI workflows early-stage,https://www.linkedin.com/company/digital-health-venture-partners
DigiTx Partners,Digital health personalized medicine data analytics,https://www.linkedin.com/company/digitx-partners
Venrock,Healthcare & life sciences early-stage,https://www.linkedin.com/company/venrock
.406 Ventures,Healthcare IT data-driven health,https://www.linkedin.com/company/406-ventures
Polaris Partners,Healthcare life sciences technology,https://www.linkedin.com/company/polaris-partners
Forerunner Ventures,Consumer health DTC brands,https://www.linkedin.com/company/forerunner-ventures
NFX,Network effects healthcare marketplaces,https://www.linkedin.com/company/nfx
DCVC,Deep tech digital health infrastructure,https://www.linkedin.com/company/dcvc
OMERS Ventures,North American tech healthcare,https://www.linkedin.com/company/omers-ventures
Catalpa Ventures,HealthTech DACH & Benelux pre-seed to Series A,https://www.linkedin.com/company/catalpa-ventures
Qure Ventures,Digital health Israeli & global,https://www.linkedin.com/company/qure-ventures
CVS Health Ventures,Healthcare innovation strategic partnerships,https://www.linkedin.com/company/cvs-health
Kaiser Permanente Ventures,Care delivery patient engagement,https://www.linkedin.com/company/kaiser-permanente-ventures
Healthbox,Healthcare innovation accelerator,https://www.linkedin.com/company/healthbox
F-Prime Capital,Healthcare fintech enterprise,https://www.linkedin.com/company/f-prime-capital
Bessemer Venture Partners,Healthcare IT cloud SaaS,https://www.linkedin.com/company/bessemer-venture-partners
Y Combinator,Early-stage healthcare startups,https://www.linkedin.com/company/y-combinator
